Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,isim_temiz_x,isim_temiz_fuzzy,isim_temiz_y,Piyasa_Degeri
331,Sam Larsson,seÂ SWE,"MF,FW",Fatih Karagümrük,33-023,1993,20,19,"1,421",15.AÄu,1,3,4,0,1,1,1,0,0.06,0.19,0.25,0.00,0.19,Matches,sam larsson,sam larsson,sam larsson,700 bin €
332,Mario Lemina,gaÂ GAB,"MF,DF",Galatasaray,32-244,1993,26,19,"1,634",18.Åub,1,1,2,1,0,0,6,0,0.06,0.06,0.11,0.06,0.11,Matches,mario lemina,mario lemina,mario lemina,5.00 mil. €
333,Igor Lichnovsky,clÂ CHI,DF,Fatih Karagümrük,32-057,1994,11,11,990,11.0,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.00,0.09,Matches,igor lichnovsky,igor lichnovsky,igor lichnovsky,800 bin €
334,Nuno Lima,ptÂ POR,DF,Alanyaspor,25-048,2001,30,30,"2,641",29.Mar,1,1,2,1,0,0,7,0,0.03,0.03,0.07,0.03,0.07,Matches,nuno lima,nuno lima,nuno lima,1.50 mil. €
335,Karol Linetty,plÂ POL,MF,Kocaelispor,31-090,1995,25,19,"1,521",16.Eyl,0,2,2,0,0,0,7,0,0.0,0.12,0.12,0.00,0.12,Matches,karol linetty,karol linetty,karol linetty,1.50 mil. €
336,Mateusz Lis,plÂ POL,GK,Göztepe,29-065,1997,32,32,"2,88",32.0,0,0,0,0,0,0,3,0,0.0,0.0,0.00,0.00,0.00,Matches,mateusz lis,mateusz lis,mateusz lis,2.50 mil. €
338,Guilherme Luiz,brÂ BRA,FW,Göztepe,21-008,2005,11,2,178,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.00,0.00,0.00,Matches,guilherme luiz,guilherme luiz,guilherme luiz,1.50 mil. €
339,Christopher Lungoyi,chÂ SUI,"MF,FW",Gaziantep FK,25-303,2000,27,19,"1,712",19.0,2,2,4,2,0,0,7,0,0.11,0.11,0.21,0.11,0.21,Matches,christopher lungoyi,christopher lungoyi,christopher lungoyi,1.00 mil. €
340,Mathias Løvik,noÂ NOR,DF,Trabzonspor,22-148,2003,13,7,560,6.Åub,0,2,2,0,0,0,1,0,0.0,0.32,0.32,0.00,0.32,Matches,mathias løvik,mathias løvik,mathias løvik,4.00 mil. €
342,Maestro,aoÂ ANG,MF,Alanyaspor,22-272,2003,19,14,"1,284",14.Mar,1,1,2,1,0,0,5,1,0.07,0.07,0.14,0.07,0.14,Matches,maestro,maestro,maestro,7.00 mil. €
343,Denis Makarov,ruÂ RUS,MF,Kayserispor,28-074,1998,10,6,532,5.Eyl,0,0,0,0,0,0,3,0,0.0,0.0,0.00,0.00,0.00,Matches,denis makarov,denis makarov,denis makarov,1.50 mil. €
344,Antoine Makoumbou,cgÂ CGO,MF,Samsunspor,27-289,1998,30,22,"2,124",23.Haz,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches,antoine makoumbou,antoine makoumbou,antoine makoumbou,4.00 mil. €
345,Gaius Makouta,cgÂ CGO,MF,Alanyaspor,28-282,1997,30,29,"2,406",26.Tem,1,0,1,1,0,0,6,0,0.04,0.0,0.04,0.04,0.04,Matches,gaius makouta,gaius makouta,gaius makouta,2.00 mil. €
347,Carlos Mané,gwÂ GNB,MF,Kayserispor,32-053,1994,22,12,"1,043",11.Haz,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.00,0.09,Matches,carlos mane,carlos mane,carlos mane,800 bin €
351,Alexandru Maxim,roÂ ROU,"MF,FW",Gaziantep FK,35-299,1990,31,30,"2,5",27.AÄu,5,7,12,1,4,4,6,0,0.18,0.25,0.43,0.04,0.29,Matches,alexandru maxim,alexandru maxim,alexandru maxim,500 bin €
352,Dire Mebude,sctÂ SCO,"MF,FW",Rizespor,21-340,2004,11,6,562,6.Åub,2,2,4,2,0,0,0,0,0.32,0.32,0.64,0.32,0.64,Matches,dire mebude,adedire mebude,adedire mebude,1.20 mil. €
353,João Mendes,ptÂ POR,MF,Kayserispor,31-194,1994,24,15,"1,432",15.Eyl,0,4,4,0,0,0,4,1,0.0,0.25,0.25,0.00,0.25,Matches,joao mendes,joao mendes,joao mendes,1.20 mil. €
354,Joe Mendes,seÂ SWE,"MF,DF",Samsunspor,23-123,2002,26,10,"1,14",12.Tem,0,1,1,0,0,0,3,1,0.0,0.08,0.08,0.00,0.08,Matches,joe mendes,joe mendes,joe mendes,2.50 mil. €
357,Umut Meraş,trÂ TUR,DF,Eyüpspor,30-134,1995,20,17,"1,553",17.Mar,0,2,2,0,0,0,2,0,0.0,0.12,0.12,0.00,0.12,Matches,umut meras,umut meras,umut meras,400 bin €
358,Levent Mercan,deÂ GER,DF,Fenerbahçe,25-144,2000,19,12,"1,089",12.Oca,0,3,3,0,0,0,1,0,0.0,0.25,0.25,0.00,0.25,Matches,levent mercan,levent mercan,levent mercan,5.00 mil. €
359,Valentin Mihaila,roÂ ROU,"MF,FW",Rizespor,26-090,2000,20,13,"1,201",13.Mar,5,3,8,5,0,0,4,0,0.37,0.22,0.60,0.37,0.60,Matches,valentin mihaila,valentin mihaila,valentin mihaila,2.80 mil. €
360,Metehan Mimaroğlu,,"MF,FW",Gençlerbirliği,31-300,1994,29,18,"1,71",19.0,5,2,7,4,1,1,2,0,0.26,0.11,0.37,0.21,0.32,Matches,metehan mimaroglu,metehan mimaroglu,metehan mimaroglu,400 bin €
362,Attila Mocsi,huÂ HUN,DF,Rizespor,25-339,2000,23,17,"1,616",18.0,2,0,2,2,0,0,3,0,0.11,0.0,0.11,0.11,0.11,Matches,attila mocsi,attila mocsi,attila mocsi,2.00 mil. €
365,Marius Mouandilmadji,tdÂ CHA,FW,Samsunspor,28-101,1998,32,20,"1,871",20.AÄu,9,2,11,8,1,1,3,0,0.43,0.1,0.53,0.38,0.48,Matches,marius mouandilmadji,marius mouandilmadji,marius mouandilmadji,4.50 mil. €
366,Steve Mounié,bjÂ BEN,FW,Alanyaspor,31-216,1994,21,6,710,7.Eyl,2,0,2,2,0,0,4,0,0.25,0.0,0.25,0.25,0.25,Matches,steve mounie,steve mounie,steve mounie,1.80 mil. €
